label,variable,data
San Marino,Annual growth rate of real GDP per capita,6.26
Sao Tome and Principe,Annual growth rate of real GDP per capita,-0.24
Saudi Arabia,Annual growth rate of real GDP per capita,3.38
Senegal,Annual growth rate of real GDP per capita,3.3
Serbia,Annual growth rate of real GDP per capita,8.29
Seychelles,Annual growth rate of real GDP per capita,1.45
Sierra Leone,Annual growth rate of real GDP per capita,1.8
Singapore,Annual growth rate of real GDP per capita,7.05
Sint Maarten (Dutch part),Annual growth rate of real GDP per capita,3.01
Slovakia,Annual growth rate of real GDP per capita,3.19
Slovenia,Annual growth rate of real GDP per capita,8.12
Solomon Islands,Annual growth rate of real GDP per capita,-2.58
Somalia,Annual growth rate of real GDP per capita,-0.25
South Africa,Annual growth rate of real GDP per capita,3.87
South Georgia and the South Sandwich Islands,Annual growth rate of real GDP per capita,N/A
South Sudan,Annual growth rate of real GDP per capita,-3.58
Spain,Annual growth rate of real GDP per capita,5.25
Sri Lanka,Annual growth rate of real GDP per capita,3.38
State of Palestine,Annual growth rate of real GDP per capita,4.67
Sudan,Annual growth rate of real GDP per capita,-2.55
Suriname,Annual growth rate of real GDP per capita,-3.67
Svalbard and Jan Mayen Islands,Annual growth rate of real GDP per capita,N/A
Sweden,Annual growth rate of real GDP per capita,4.09
Switzerland,Annual growth rate of real GDP per capita,3.06
Syrian Arab Republic,Annual growth rate of real GDP per capita,-5.41
Taiwan,Annual growth rate of real GDP per capita,N/A
Tajikistan,Annual growth rate of real GDP per capita,6.88
Thailand,Annual growth rate of real GDP per capita,1.39
Timor-Leste,Annual growth rate of real GDP per capita,-0.08
Togo,Annual growth rate of real GDP per capita,2.8
Tokelau,Annual growth rate of real GDP per capita,N/A
Tonga,Annual growth rate of real GDP per capita,-3.37
Trinidad and Tobago,Annual growth rate of real GDP per capita,-1.51
Tunisia,Annual growth rate of real GDP per capita,3.46
Turkmenistan,Annual growth rate of real GDP per capita,3.11
Turks and Caicos Islands,Annual growth rate of real GDP per capita,0.2
Tuvalu,Annual growth rate of real GDP per capita,0.51
Türkiye,Annual growth rate of real GDP per capita,10.51
Uganda,Annual growth rate of real GDP per capita,3.34
Ukraine,Annual growth rate of real GDP per capita,4.25
United Arab Emirates,Annual growth rate of real GDP per capita,2.91
United Kingdom of Great Britain and Northern Ireland,Annual growth rate of real GDP per capita,7.17
United Republic of Tanzania,Annual growth rate of real GDP per capita,1.84
United States Virgin Islands,Annual growth rate of real GDP per capita,N/A
United States of America,Annual growth rate of real GDP per capita,5.61
Uruguay,Annual growth rate of real GDP per capita,4.45
Uzbekistan,Annual growth rate of real GDP per capita,5.67
Vanuatu,Annual growth rate of real GDP per capita,-2.24
Venezuela (Bolivarian Republic of),Annual growth rate of real GDP per capita,1.51
Viet Nam,Annual growth rate of real GDP per capita,1.7
Western Sahara,Annual growth rate of real GDP per capita,N/A
Yemen,Annual growth rate of real GDP per capita,-3.09
Zambia,Annual growth rate of real GDP per capita,1.67
Zimbabwe,Annual growth rate of real GDP per capita,4.15
Åland Islands,Annual growth rate of real GDP per capita,N/A
