ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_SECTOR_IND,2021,86.183,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_SECTOR_SER,2021,76.02,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_SECTOR_X,2021,100,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_SECTOR_TOTAL,2021,84.799,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_SECTOR_AGR,2021,99.661,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_SECTOR_IND,2021,86.269,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_SECTOR_SER,2021,63.229,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_SECTOR_X,2021,100,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_SECTOR_TOTAL,2021,95.504,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_SECTOR_AGR,2021,99.978,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_SECTOR_IND,2021,85.183,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_SECTOR_SER,2021,88.266,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_SECTOR_X,2021,100,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_TOTAL,2021,90.254,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_AGR,2021,99.835,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_MAN,2021,87.564,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_CON,2021,91.841,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_MEL,2021,67.289,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_MKT,2021,92.122,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_PUB,2021,44.69,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGGREGATE_X,2021,100,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_TOTAL,2021,84.799,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_AGR,2021,99.661,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_MAN,2021,86.967,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_CON,2021,91.903,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_MEL,2021,68.224,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_MKT,2021,86.533,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_PUB,2021,30.45,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGGREGATE_X,2021,100,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_TOTAL,2021,95.504,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_AGR,2021,99.978,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_MAN,2021,90.163,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_MEL,2021,51.65,U,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_MKT,2021,96.388,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_PUB,2021,65.934,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGGREGATE_X,2021,100,,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_TOTAL,2019,88.195,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_AGR,2019,99.469,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_NAG,2019,75.939,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_TOTAL,2019,82.181,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_AGR,2019,99.151,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_NAG,2019,67.565,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_TOTAL,2019,94.03,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_AGR,2019,99.717,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_NAG,2019,86.266,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_SECTOR_TOTAL,2019,88.195,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_SECTOR_AGR,2019,99.469,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_SECTOR_IND,2019,82.425,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_SECTOR_SER,2019,73.355,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_SECTOR_X,2019,98.369,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_SECTOR_TOTAL,2019,82.181,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_SECTOR_AGR,2019,99.151,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_SECTOR_IND,2019,82.447,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_SECTOR_SER,2019,61.768,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_SECTOR_X,2019,96.601,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_SECTOR_TOTAL,2019,94.03,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_SECTOR_AGR,2019,99.717,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_SECTOR_IND,2019,82.292,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_SECTOR_SER,2019,85.391,B,,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_SECTOR_X,2019,99.478,B,,I11:264,R1:3513
